-230,6,-90,-79,-265,-202,85,282,-201,-349,93,181,-98,-603,117,-410,-70,126,-96,324,265,-221,-597,-107,-719,123,-18,1,234,-258,-141,-86,-263,-294,-416,-26,10,-246,10,152,526,-231,-133,-764
-245,87,281,-3,226,-734,-494,-248,-81,-168,504,-7,-112,-62,-33,-66,151,174,335,116,95,-391,-285,230,-362,-272,-111,-161,189,-314,-913,-125,-158,-49,38,-26,-155,-644,768,-82,40,-258,14,-53
459,293,96,238,-338,184,-167,781,52,311,203,-130,560,-329,-353,-144,-326,-175,286,231,-547,-44,832,1021,-183,800,746,-139,221,-293,45,57,-513,-19,173,23,156,-570,90,96,-219,677,-199,-478
713,-89,-213,975,-57,-458,13,-144,21,-124,9,393,-60,232,-774,895,-361,-205,-499,138,-223,788,379,-169,88,35,-606,-252,-180,47,228,-228,1193,278,-309,-29,-86,95,-94,-200,251,-364,286,-184
-84,-285,-46,249,-325,-141,119,-111,240,-104,278,387,-509,503,133,-187,-725,48,-357,-157,286,-182,-817,-49,-242,17,99,-150,390,-102,-339,188,-221,407,-538,-58,-80,-581,-70,-281,338,-471,-326,-748
-28,-137,-247,-69,95,-502,23,71,158,239,-599,-159,470,816,-84,-143,276,-341,-900,150,177,-98,357,116,214,646,183,-420,-143,-157,-584,117,657,-91,-396,24,-138,-334,-198,-146,83,-143,-212,-591
412,-111,-116,513,-194,204,186,29,177,280,-199,-71,197,99,-69,-96,257,533,457,-93,-77,895,-181,476,-673,114,-165,-324,-267,-634,-89,-3,111,39,-21,750,89,1,-225,-202,-488,85,-245,-207
37,-515,222,523,-267,-275,-176,-214,347,-299,441,-138,-212,-26,-197,399,-341,-349,0,-116,358,68,-436,263,53,-505,-615,-533,257,359,-385,22,459,212,138,291,-11,-635,542,-326,878,-270,-266,-243
11,-155,-41,-539,141,551,536,-112,512,381,-327,688,-457,223,470,-670,-203,753,138,-172,-636,-123,-40,-196,528,223,-153,392,394,365,74,-84,-546,39,10,162,410,231,-310,128,38,-51,207,-447
-203,962,124,62,138,-148,-435,-101,-375,-55,-77,-542,394,-301,-112,-98,88,602,561,-329,-544,-155,-80,-313,-519,-17,677,-202,2,-332,-357,50,-103,-469,-934,-214,462,88,-505,51,-389,813,28,-191
211,333,241,378,42,76,-338,226,318,121,-47,54,245,-499,158,-75,6,66,-308,-186,-847,367,-121,-152,-139,-48,41,-436,87,-178,506,-269,-142,55,-330,-250,280,188,-3,102,195,-341,-62,-181
70,0,-7,68,-76,71,73,70,-1,-260,55,-80,266,-60,130,-76,-110,-113,-67,-71,98,174,29,13,129,182,200,-40,224,-461,64,130,-68,-132,45,538,-169,351,362,49,-4,-17,-4,268
