171,194,-110,-471,675,239,-289,-316,-237,200,477,82,260,513,-435,89,357,675,-233,-458,-124,-216,347,76,-82,-1,274,-49,-21,-734,-209,306,-325,-450,74,581,-497,188,465,183,-345,-41
-233,-295,-664,-505,-41,46,133,-330,-381,67,315,-138,-432,-496,784,-420,-160,88,194,372,438,192,-363,-371,428,-593,102,-247,84,219,237,-135,138,-666,440,452,-188,553,-583,275,406,-110
123,-143,-162,75,-167,563,148,437,889,128,-236,-858,-229,207,932,-617,81,450,-549,-292,-342,42,-914,-304,55,124,554,-57,333,-8,60,153,133,203,-149,-65,194,362,-65,457,-456,-528
317,328,454,-132,203,-460,-165,-342,-124,-6,-73,269,-171,207,-481,300,624,75,-128,-71,-453,-316,547,-381,163,336,104,368,-248,-511,-428,524,103,197,-478,-78,145,-320,-140,281,370,196
-141,66,9,62,496,-126,-82,243,407,-318,56,59,-135,74,100,54,49,105,-83,-104,231,259,528,-170,514,-250,101,498,40,196,376,308,205,-75,107,127,410,553,-516,150,141,465
10,-462,-98,-238,262,39,25,-156,-251,-65,-664,-273,-415,-257,278,-873,703,14,-887,-419,11,282,44,326,661,414,328,36,294,-215,-107,-412,40,832,182,-71,391,-268,633,196,-344,-205
448,21,429,468,-263,-219,105,-519,-97,-374,-244,2,-430,-348,-425,-526,22,-34,438,206,49,-435,36,-158,-151,58,-875,-461,339,32,615,-110,-21,345,415,-59,-252,-121,-497,32,62,611
293,523,172,336,288,-306,252,-769,253,-123,-374,132,3,32,366,276,-19,-137,18,-405,246,819,368,143,-771,581,173,480,519,268,-349,-33,351,-350,828,790,-212,-686,173,-32,457,-203
131,157,131,549,-812,149,592,338,-154,-43,-350,-111,-128,192,-10,347,126,840,-417,403,376,106,-69,15,-224,27,-325,-410,239,365,94,-514,132,659,174,-191,-143,-70,-343,-58,-146,572
21,10,16,134,125,12,-623,-20,-80,340,-144,-33,669,-82,-242,-207,-238,-814,114,-291,-841,14,-342,-145,103,-231,23,-102,277,-177,-341,96,-478,-77,-339,-15,-40,-45,864,41,-260,112
69,-46,-11,-3,33,0,5,11,1,42,3,-81,74,-1,7,5,-15,66,12,-112,-32,6,25,-68,-206,28,10,-46,92,-196,-10,-62,113,-107,-263,317,-74,176,123,-216,-304,297
